1548
620
3600
3
Potion,POTION,5
Super Potion,SUPER_POTION,2
Revive,REVIVE_ITEM,1
3
Hutan,false
Danau,false
Desa,false
14
Leafy,2,90,90,18,14,12,50,150
Droplet,2,100,100,16,17,10,80,150
Pebblem,2,110,110,15,20,7,140,150
Phantomur,1,165,165,37,28,34,0,100
Sparky,2,80,80,19,11,18,110,150
Volcanix,2,170,170,43,27,32,100,150
Voltmice,2,110,110,27,17,27,80,150
Genesis,1,240,240,50,50,50,0,100
Embercat,1,105,105,26,16,20,60,100
Aquafox,1,125,125,20,22,14,60,100
Pyropup,1,75,75,18,10,12,90,100
Granite,1,140,140,18,26,10,60,100
HydroShell,1,185,185,34,35,20,0,100
Zephyrus,1,210,210,55,40,55,0,100
4
2
3
4
5
